;JR;id;genus;species;gensp;sex;svl;femur;tib;tarsus;foot;head.length;head.width;humerus;radioulna;hand;fing.pad.L;fing.pad.W;toe.pad.L;toe.pad.W;fing.area;toe.area;HL.Webbing;ecomorph
107;242243;154;Cophixalus;desticans;Cophixalus desticans;m;14.7;7.24;8.03;5.18;7.9;4.74;5.38;3.8;3.02;3.26;0.36;0.49;0.44;0.63;0.676984;0.870408;0;terrestrial
108;242244;160;Cophixalus;desticans;Cophixalus desticans;m;14.65;7.18;7.97;5.12;7.55;4.32;5.05;4.09;3.18;2.96;0.2;0.37;0.28;0.63;0.325304;0.553896;0;terrestrial
109;242245;161;Cophixalus;desticans;Cophixalus desticans;m;13.23;7.41;7.55;4.94;7.17;4.41;4.56;4.04;2.92;2.8;0.35;0.36;0.38;0.64;0.429552;0.763648;0;terrestrial
110;242246;162;Cophixalus;desticans;Cophixalus desticans;m;14.73;7.28;7.67;4.93;7.17;4.28;4.64;4.15;2.89;3.24;0.44;0.46;0.67;0.73;0.967748;1.535774;0;terrestrial
111;242247;165;Cophixalus;desticans;Cophixalus desticans;m;14.89;7.22;7.51;4.85;7.07;4.43;5.49;4.03;2.98;3;0.31;0.57;0.49;0.8;0.877002;1.23088;0;terrestrial
359;JR292;617;Cophixalus;desticans;Cophixalus desticans;m;17.1;8.73;9.22;5.87;9.25;5.28;5.44;4.71;4.16;3.95;0.26;0.47;0.46;0.63;0.678868;0.909972;0;terrestrial
363;JR296;607;Cophixalus;desticans;Cophixalus desticans;na;15.03;7.68;8.1;4.72;8.27;5.12;4.82;4.48;3.22;3.59;0.28;0.35;0.58;0.62;0.63742;1.129144;0;terrestrial
424;JR352;619;Cophixalus;desticans;Cophixalus desticans;m;11.86;5.75;6.3;3.71;6;3.46;4.1;3.29;1.79;2.72;0.39;0.49;0.52;0.59;0.800072;0.963352;0;terrestrial
457;JR383;611;Cophixalus;desticans;Cophixalus desticans;m;10.86;4.8;5.01;2.77;4.85;3.55;4.29;3.97;2.61;2.94;0.33;0.52;0.36;0.48;0.587808;0.542592;0;terrestrial
469;JR394;504;Cophixalus;desticans;Cophixalus desticans;m;12.55;5.94;6.3;3.61;6.57;3.67;4.71;3.65;2.27;2.7;0.29;0.29;0.47;0.7;0.427982;1.03306;0;terrestrial
478;JR401;615;Cophixalus;desticans;Cophixalus desticans;m;15.35;7.03;7.65;3.94;6.94;3.59;5.45;4.89;3.06;3.97;0.58;0.97;0.53;0.7;1.614274;1.16494;0;terrestrial
479;JR402;622;Cophixalus;desticans;Cophixalus desticans;m;11.74;6.27;6.38;3.46;5.99;3.13;4.01;3.44;2.43;2.56;0.3;0.38;0.45;0.62;0.53694;0.87606;0;terrestrial
480;JR403;605;Cophixalus;desticans;Cophixalus desticans;m;11.61;5.43;6.32;3.23;5.7;2.87;3.97;3.26;2.29;2.58;0.29;0.39;0.35;0.6;0.42861;0.6594;0;terrestrial
481;JR404;620;Cophixalus;desticans;Cophixalus desticans;m;12.04;5.57;6.71;3.93;5.93;3.36;3.94;3.15;2.31;2.69;0.25;0.33;0.42;0.58;0.435204;0.764904;0;terrestrial
483;JR406;562;Cophixalus;desticans;Cophixalus desticans;m;10.43;5.5;5.45;2.67;4.8;2.99;3.89;2.95;2.7;2.74;0.34;0.56;0.25;0.37;0.4396;0.29045;0;terrestrial
485;JR408;621;Cophixalus;desticans;Cophixalus desticans;m;11.8;5.71;6.11;3.4;5.69;2.94;4.2;4.35;2.14;2.91;0.32;0.43;0.43;0.53;0.580586;0.715606;0;terrestrial
486;JR409;563;Cophixalus;desticans;Cophixalus desticans;m;11.2;4.8;5.76;3.29;5.62;3.18;3.98;4.25;2.14;2.48;0.25;0.26;0.54;0.61;0.440856;1.034316;0;terrestrial
489;JR411;616;Cophixalus;desticans;Cophixalus desticans;m;11.94;5.81;6.15;2.87;6.03;2.76;3.71;3.45;1.84;2.71;0.47;0.58;0.46;0.7;0.837752;1.01108;0;terrestrial
490;JR412;614;Cophixalus;desticans;Cophixalus desticans;m;11.09;4.28;5.7;3.08;5.32;3.32;3.81;3.49;1.92;2.42;0.33;0.44;0.4;0.57;0.55264;0.71592;0;terrestrial
492;JR414;613;Cophixalus;desticans;Cophixalus desticans;m;13.5;5.9;6.24;2.43;6.47;2.75;3.77;4.95;2.77;3.58;0.52;0.78;0.42;0.42;1.028664;0.553896;0;terrestrial
493;JR416;608;Cophixalus;desticans;Cophixalus desticans;m;11.7;6.06;6.08;3.33;5.25;3.29;4.79;3.85;2.01;2.66;0.36;0.52;0.56;0.62;0.914368;1.090208;0;terrestrial
501;JR423;612;Cophixalus;desticans;Cophixalus desticans;m;8.83;3.91;4.6;2.3;4.6;2.47;3.12;3.65;1.59;1.41;0.19;0.22;0.25;0.33;0.1727;0.25905;0;terrestrial
502;JR424;606;Cophixalus;desticans;Cophixalus desticans;m;10.85;4.41;6.05;3.22;5.48;2.72;3.64;3.58;2.78;2.54;0.25;0.34;0.34;0.46;0.362984;0.491096;0;terrestrial
503;JR425;618;Cophixalus;desticans;Cophixalus desticans;m;11.33;5.89;6.45;2.77;4.55;2.99;5.17;4.65;2.36;2.5;0.38;0.48;0.45;0.54;0.67824;0.76302;0;terrestrial
351;JR285;482;Cophixalus;linneaus;Cophixalus linneaus;m;13.25;6.86;6.98;4.08;5.94;4.19;4.66;3.56;2.8;3.18;0.37;0.86;0.6;0.8;1.62024;1.5072;0;scansorial
315;JR245;448;Cophixalus;pipilans;Cophixalus pipilans;m;19.93;9.13;9.91;6.25;9.08;6.68;7.06;5.18;4.1;4.29;0.35;0.52;0.45;0.67;0.73476;0.94671;0;terrestrial
317;JR247;446;Cophixalus;pipilans;Cophixalus pipilans;f;19.03;10.2;10.36;6.19;9.22;7.04;7.41;4.62;4.67;4.3;0.29;0.56;0.47;0.73;0.826448;1.077334;0;terrestrial
325;JR253;447;Cophixalus;pipilans;Cophixalus pipilans;m;19.62;9.15;9.61;5.83;9.22;7.84;6.36;4.58;4.29;4.22;0.27;0.44;0.47;0.81;0.649352;1.195398;0;terrestrial
203;JR101;223;Cophixalus;sp. 1;Cophixalus sp. 1;m;16.51;7.58;7.93;4.77;7.72;4.83;5.64;4.78;4.11;4.3;0.35;0.65;0.39;0.66;0.79599;0.808236;0;scansorial
205;JR103;193;Cophixalus;sp. 1;Cophixalus sp. 1;m;16.14;7.51;7.97;4.96;7.3;4.68;5.4;4.57;3.78;4.27;0.47;0.62;0.4;0.5;0.77872;0.628;0;scansorial
212;JR111;272;Cophixalus;sp. 1;Cophixalus sp. 1;m;17.33;6.87;7.82;5.45;7.32;5.22;6.07;5.18;4.4;4.2;0.47;0.69;0.34;0.48;0.736644;0.512448;0;scansorial
214;JR113;350;Cophixalus;sp. 1;Cophixalus sp. 1;na;17.14;9.29;8.29;5.13;8.6;4.88;5.61;4.68;4.38;5.32;0.46;0.94;0.44;0.71;1.298704;0.980936;0;scansorial
221;JR126;249;Cophixalus;sp. 1;Cophixalus sp. 1;m;17.35;7.07;8.52;5.67;6.75;5.29;5.74;5.17;3.93;4.99;0.44;0.9;0.44;0.68;1.24344;0.939488;0;scansorial
224;JR131;262;Cophixalus;sp. 1;Cophixalus sp. 1;m;16.62;8.08;8.59;5.49;8.04;5.08;6;4.74;4.28;5.12;0.52;0.83;0.46;0.65;1.198852;0.93886;0;scansorial
225;JR135;279;Cophixalus;sp. 1;Cophixalus sp. 1;m;15.78;8.23;8.05;5.06;7.82;5.06;5.46;4.75;4.48;4.77;0.46;0.93;0.39;0.57;1.138878;0.698022;0;scansorial
227;JR137;275;Cophixalus;sp. 1;Cophixalus sp. 1;m;15.89;7.82;8.12;5.23;6.69;5.06;5.23;4.78;3.63;3.9;0.38;0.68;0.37;0.5;0.790024;0.5809;0;scansorial
229;JR141;305;Cophixalus;sp. 1;Cophixalus sp. 1;m;17.11;8.11;8.22;4.85;7.94;5.64;6.31;5.76;3.86;3.96;0.47;0.89;0.4;0.74;1.11784;0.92944;0;scansorial
230;JR144;299;Cophixalus;sp. 1;Cophixalus sp. 1;m;15.21;8.09;7.99;4.93;6.97;4.17;5.33;5.33;3.99;3.36;0.47;0.74;0.37;0.56;0.859732;0.650608;0;scansorial
235;JR150;244;Cophixalus;sp. 1;Cophixalus sp. 1;m;15.51;7.43;8.02;4.82;7.39;5.37;4.9;4.54;3.7;4.75;0.43;0.86;0.39;0.72;1.053156;0.881712;0;scansorial
236;JR151;333;Cophixalus;sp. 1;Cophixalus sp. 1;f;22.76;10.28;12.63;7.66;11.97;7.59;9.09;6.67;5.84;6.58;0.75;1.13;0.48;1.07;1.703136;1.612704;0;scansorial
237;JR152;296;Cophixalus;sp. 1;Cophixalus sp. 1;m;16.5;8.22;8.1;5.25;7.55;5.39;6.05;4.4;4.36;4.66;0.53;0.81;0.35;0.67;0.89019;0.73633;0;scansorial
239;JR154;264;Cophixalus;sp. 1;Cophixalus sp. 1;m;15.39;8.05;8.1;4.82;7.65;5.53;5.7;4.59;4.05;5.03;0.45;0.92;0.35;0.59;1.01108;0.64841;0;scansorial
270;JR19;292;Cophixalus;sp. 1;Cophixalus sp. 1;m;13.23;7.61;6.99;4.36;6.57;4.21;4.58;3.98;3.27;4.11;0.66;0.87;0.5;0.59;1.3659;0.9263;0;scansorial
278;JR2;276;Cophixalus;sp. 1;Cophixalus sp. 1;m;17.94;8.58;8.46;5.38;7.71;5.56;5.37;5.1;4.52;4.78;0.67;0.85;0.44;0.63;1.17436;0.870408;0;scansorial
289;JR21;297;Cophixalus;sp. 1;Cophixalus sp. 1;m;16.18;8.4;8;5.04;8.11;4.85;5.47;4.8;3.82;5.07;0.48;1.04;0.5;0.68;1.6328;1.0676;0;scansorial
334;JR27;289;Cophixalus;sp. 1;Cophixalus sp. 1;na;17.2;8.72;7.94;5.32;8.25;4.83;5.84;4.99;3.81;4.84;0.51;0.86;0.61;0.8;1.647244;1.53232;0;scansorial
511;JR50;295;Cophixalus;sp. 1;Cophixalus sp. 1;m;17.44;8.73;8.45;4.88;7.66;4.88;5.5;5.2;4;4.9;0.59;1.11;0.54;0.87;1.882116;1.475172;0;scansorial
525;JR63;267;Cophixalus;sp. 1;Cophixalus sp. 1;m;17.04;8.5;8.19;5.05;8.32;4.57;5.51;4.74;3.75;4.9;0.81;0.96;0.55;0.64;1.65792;1.10528;0;scansorial
536;JR74;345;Cophixalus;sp. 1;Cophixalus sp. 1;m;11.43;5.52;6.99;3.93;6.57;4.32;5.52;5.96;2.6;4.16;0.6;1.03;0.48;0.69;1.552416;1.039968;0;scansorial
548;JR87;192;Cophixalus;sp. 1;Cophixalus sp. 1;m;16.12;7.76;7.9;4.88;7.34;4.76;5.51;4.72;3.91;4.79;0.44;0.96;0.25;0.58;0.7536;0.4553;0;scansorial
557;JR96;263;Cophixalus;sp. 1;Cophixalus sp. 1;m;16.11;8.08;7.92;5.21;7.48;4.68;5.79;4.66;4.2;4.28;0.35;0.76;0.24;0.5;0.572736;0.3768;0;scansorial
213;JR112;230;Cophixalus;sp. 2;Cophixalus sp. 2;m;12.79;5.48;6.35;3.94;5.96;3.59;4.64;3.64;3.16;2.99;0.25;0.41;0.28;0.43;0.360472;0.378056;0;terrestrial
513;JR52;224;Cophixalus;sp. 2;Cophixalus sp. 2;m;12.56;6.38;6.58;3.84;5.98;4.08;4.18;3.72;3.16;3.39;0.24;0.5;0.55;0.67;0.8635;1.15709;0;terrestrial
514;JR53;232;Cophixalus;sp. 2;Cophixalus sp. 2;m;14.04;7.02;6.94;4.18;6.54;3.86;4.81;4.11;3.25;3.96;0.44;0.65;0.51;0.57;1.04091;0.912798;0;terrestrial
524;JR62;265;Cophixalus;sp. 2;Cophixalus sp. 2;m;12.33;5.38;5.3;2.51;5.45;3.85;4.56;3.56;2.46;2.81;0.34;0.63;0.5;0.55;0.9891;0.8635;0;terrestrial
526;JR65;243;Cophixalus;sp. 2;Cophixalus sp. 2;m;12.31;6.11;5.99;3.18;5.43;2.85;4.32;4.2;2.34;3.2;0.38;0.53;0.48;0.61;0.798816;0.919392;0;terrestrial
527;JR66;227;Cophixalus;sp. 2;Cophixalus sp. 2;m;12.5;5.64;5.91;3.85;4.14;3.73;4.38;3.87;2.55;3.15;0.34;0.54;0.52;0.66;0.881712;1.077648;0;terrestrial
528;JR67;231;Cophixalus;sp. 2;Cophixalus sp. 2;m;11.33;5.56;5.73;3.03;5.12;3.39;4.63;4.26;2.3;2.44;0.37;0.63;0.5;0.57;0.9891;0.8949;0;terrestrial
533;JR71;347;Cophixalus;sp. 2;Cophixalus sp. 2;m;11.21;6.28;6.11;3.23;5.58;4.66;6.14;3.98;2.16;3.27;0.41;0.61;0.46;0.69;0.881084;0.996636;0;terrestrial
534;JR72;317;Cophixalus;sp. 2;Cophixalus sp. 2;m;11.78;5.78;6.05;2.62;5.37;3.72;5.25;4.1;2.43;3.03;0.27;0.35;0.48;0.55;0.52752;0.82896;0;terrestrial
546;JR83;341;Cophixalus;sp. 2;Cophixalus sp. 2;m;11.83;5.72;6.24;3.32;5.78;3.56;5.19;3.79;2.44;3.4;0.43;0.73;0.51;0.76;1.169022;1.217064;0;terrestrial
95;242231;89;Cophixalus;variabilis;Cophixalus variabilis;m;14.34;6.61;7.13;4.58;7.28;4;4.31;3.93;3.08;3.06;0.23;0.25;0.34;0.61;0.2669;0.651236;0;scansorial
99;242235;113;Cophixalus;variabilis;Cophixalus variabilis;m;15.24;7.99;7.87;4.93;8.41;4.36;4.66;4.13;3.51;3.32;0.41;0.45;0.66;0.89;0.93258;1.844436;0;scansorial
112;242262;37;Cophixalus;variabilis;Cophixalus variabilis;m;13.44;6.16;6.77;4.13;6.56;3.76;4.13;4.07;3.78;3.74;0.41;0.67;0.34;0.46;0.715292;0.491096;0;scansorial
113;242263;7;Cophixalus;variabilis;Cophixalus variabilis;m;17.87;8.99;9.02;5.52;8.91;4.57;4.98;5.21;4.24;4.14;0.65;0.99;0.62;0.88;1.927332;1.713184;0;scansorial
114;242264;6;Cophixalus;variabilis;Cophixalus variabilis;f;15.1;8.21;8.65;5.42;7.27;4.24;5.41;4.84;3.83;3.51;0.61;0.99;0.77;1;2.393622;2.4178;0;scansorial
115;242265;18;Cophixalus;variabilis;Cophixalus variabilis;m;15.63;7.53;7.93;5.31;7.51;3.43;4.94;4.52;3.75;4.16;0.62;0.73;0.63;0.86;1.444086;1.701252;0;scansorial
116;242266;13;Cophixalus;variabilis;Cophixalus variabilis;m;14.2;7.47;7.62;4.94;7;4.27;4.78;4.21;3.85;3.62;0.7;0.9;0.58;0.81;1.63908;1.475172;0;scansorial
117;242267;35;Cophixalus;variabilis;Cophixalus variabilis;m;14.09;7.92;7.49;4.75;6.66;3.94;5.14;4.5;3.78;3.85;0.43;0.82;0.44;0.67;1.132912;0.925672;0;scansorial
118;242268;59;Cophixalus;variabilis;Cophixalus variabilis;m;13.98;8.12;7.98;4.77;6.69;3.76;4.79;4.06;3.29;4.08;0.66;0.85;0.52;0.69;1.38788;1.126632;0;scansorial
119;242269;36;Cophixalus;variabilis;Cophixalus variabilis;m;14.86;7.9;7.6;4.95;7.08;3.95;5.17;4.05;3.35;3.92;0.69;0.82;0.62;0.84;1.596376;1.635312;0;scansorial
120;242270;53;Cophixalus;variabilis;Cophixalus variabilis;m;14.16;7.9;7.65;5.29;7.36;3.64;4.67;4.39;3.51;4.1;0.54;0.54;0.58;0.78;0.983448;1.420536;0;scansorial
121;242271;27;Cophixalus;variabilis;Cophixalus variabilis;m;16.7;8.63;8.88;8.61;7.88;4.55;5.71;5.63;3.91;4.46;0.8;0.94;0.62;0.81;1.829992;1.576908;0;scansorial
122;242272;41;Cophixalus;variabilis;Cophixalus variabilis;m;15.31;8.36;8.58;5.22;7.33;4.5;5.8;4.63;3.59;3.69;0.63;0.91;0.64;0.78;1.828736;1.567488;0;scansorial
123;242273;42;Cophixalus;variabilis;Cophixalus variabilis;m;12.84;6.62;6.67;4.32;5.6;3.42;3.84;3.96;2.99;3.6;0.38;0.68;0.41;0.47;0.875432;0.605078;0;scansorial
124;242274;43;Cophixalus;variabilis;Cophixalus variabilis;m;13.85;6.93;7.08;5.13;6.83;3.34;3.89;4.13;2.91;4;0.68;0.83;0.46;0.64;1.198852;0.924416;0;scansorial
125;242275;46;Cophixalus;variabilis;Cophixalus variabilis;m;17.54;9.13;9.01;5.56;9.27;4.82;6.84;4.98;4.24;5.07;0.71;0.95;0.56;0.95;1.67048;1.67048;0;scansorial
126;242276;49;Cophixalus;variabilis;Cophixalus variabilis;m;15.08;7.92;7.85;5.17;6.88;4.22;5.53;4.49;3.35;4.13;0.69;0.92;0.6;0.82;1.73328;1.54488;0;scansorial
430;JR358;571;Cophixalus;variabilis;Cophixalus variabilis;m;12.67;5.92;6.21;3.08;6.01;3.31;4.63;2.98;2.49;3.29;0.58;0.88;0.44;0.61;1.215808;0.842776;0;scansorial
434;JR361;489;Cophixalus;variabilis;Cophixalus variabilis;m;11.57;5.58;6.12;3.56;5.24;3.28;4.22;3.12;2.26;3.28;0.49;0.77;0.37;0.55;0.894586;0.63899;0;scansorial
445;JR371;496;Cophixalus;variabilis;Cophixalus variabilis;m;11.13;5.8;6.24;3.52;4.38;2.96;4.38;2.69;2.8;3.18;0.51;0.85;0.43;0.62;1.14767;0.837124;0;scansorial
446;JR372;522;Cophixalus;variabilis;Cophixalus variabilis;m;12.92;5.93;6;2.47;6.27;3.24;4.85;3.69;2.78;3.35;0.42;0.8;0.33;0.4;0.82896;0.41448;0;scansorial
447;JR373;494;Cophixalus;variabilis;Cophixalus variabilis;m;12.06;5.33;6.49;2.99;6.18;3.48;4.28;3.48;2.84;3.29;0.46;0.61;0.44;0.63;0.842776;0.870408;0;scansorial
448;JR374;488;Cophixalus;variabilis;Cophixalus variabilis;m;12.56;5.51;5.89;3.63;5.27;3.12;4.27;2.87;2.64;3.2;0.57;0.66;0.31;0.48;0.642444;0.467232;0;scansorial
452;JR379;525;Cophixalus;variabilis;Cophixalus variabilis;m;12.24;5.64;6.28;3.61;6.02;3.35;4.51;3.56;2.53;2.05;0.51;0.88;0.48;0.74;1.326336;1.115328;0;scansorial
454;JR380;521;Cophixalus;variabilis;Cophixalus variabilis;m;12.81;5.75;6.07;3.28;5.8;3.32;4.19;3.49;2.55;3.44;0.47;0.85;0.47;0.58;1.25443;0.855964;0;scansorial
455;JR381;529;Cophixalus;variabilis;Cophixalus variabilis;m;11.72;5.97;6.12;3.19;5.3;2.95;4.05;3.54;2.68;3.34;0.54;0.72;0.37;0.44;0.836496;0.511192;0;scansorial
456;JR382;531;Cophixalus;variabilis;Cophixalus variabilis;m;12.07;6.05;6.25;4.13;5.54;3.35;4.55;3.58;2.72;3.47;0.6;0.76;0.54;0.71;1.288656;1.203876;0;scansorial
458;JR384;630;Cophixalus;variabilis;Cophixalus variabilis;m;12.49;5.16;6.71;3.71;5.57;3.62;4.63;3.12;2.33;3.49;0.56;0.72;0.29;0.52;0.655632;0.473512;0;scansorial
459;JR385;519;Cophixalus;variabilis;Cophixalus variabilis;m;15.62;8.06;7.19;3.67;7.19;4.08;5.09;3.8;2.97;3.93;0.59;0.93;0.39;0.69;1.138878;0.844974;0;scansorial
460;JR386;520;Cophixalus;variabilis;Cophixalus variabilis;m;11.59;5.38;5.87;3.54;5.4;3.4;4.3;3.96;2.51;3.41;0.51;0.78;0.36;0.6;0.881712;0.67824;0;scansorial
461;JR387;490;Cophixalus;variabilis;Cophixalus variabilis;m;13.35;6.8;6.51;3.72;6.13;3.49;4.91;3.46;2.71;3.86;0.55;0.83;0.26;0.42;0.677612;0.342888;0;scansorial
462;JR388;523;Cophixalus;variabilis;Cophixalus variabilis;m;14.45;7.3;7.04;4.39;6.3;3.86;5.17;3.26;2.57;3.85;0.63;0.89;0.57;0.82;1.592922;1.467636;0;scansorial
463;JR389;524;Cophixalus;variabilis;Cophixalus variabilis;m;13.38;6.88;6.85;3.74;5.79;3.63;5.21;2.4;2.56;3.47;0.51;0.75;0.38;0.65;0.8949;0.77558;0;scansorial
466;JR391;528;Cophixalus;variabilis;Cophixalus variabilis;m;13.61;6.61;7.32;4.31;6.04;3.53;4.81;3.49;2.55;4.25;0.5;0.81;0.38;0.51;0.966492;0.608532;0;scansorial
467;JR392;491;Cophixalus;variabilis;Cophixalus variabilis;m;15.79;7.2;7.48;4.37;6.65;3.69;5.36;4.2;2.96;4.48;0.7;1.03;0.4;0.67;1.29368;0.84152;0;scansorial
468;JR393;532;Cophixalus;variabilis;Cophixalus variabilis;m;13.41;6.4;7.08;3.89;6.68;3.45;4.8;3.24;2.94;4.06;0.51;0.81;0.38;0.65;0.966492;0.77558;0;scansorial
470;JR395;527;Cophixalus;variabilis;Cophixalus variabilis;m;13.09;6.85;6.98;4.23;5.22;4.27;5.2;3.89;2.68;3.72;0.57;0.81;0.41;0.64;1.042794;0.823936;0;scansorial
471;JR396;492;Cophixalus;variabilis;Cophixalus variabilis;m;13.65;6.98;7.06;4.11;6.88;3.46;4.99;3.8;3.03;4.02;0.6;0.84;0.54;0.65;1.424304;1.10214;0;scansorial
473;JR398;493;Cophixalus;variabilis;Cophixalus variabilis;m;14.61;6.21;7.01;3.34;6.17;4.45;5.39;3.56;3.15;3.82;0.65;0.82;0.54;0.78;1.390392;1.322568;0;scansorial
474;JR399;530;Cophixalus;variabilis;Cophixalus variabilis;m;13.81;7.27;7.44;4.15;6.46;4.03;5.34;4.1;3.44;4.8;0.67;1.17;0.35;0.67;1.28583;0.73633;0;scansorial
477;JR400;570;Cophixalus;variabilis;Cophixalus variabilis;m;13.25;5.83;6.03;2.78;5.7;2.86;4.3;2.78;2.65;3.19;0.6;0.77;0.48;0.61;1.160544;0.919392;0;scansorial
482;JR405;568;Cophixalus;variabilis;Cophixalus variabilis;m;11.94;5.08;5.62;3.49;5.21;3.03;4.08;3.48;2.43;3.33;0.42;0.61;0.32;0.5;0.612928;0.5024;0;scansorial
484;JR407;573;Cophixalus;variabilis;Cophixalus variabilis;m;12.99;5.79;6.36;3.67;5.56;3.16;4.2;2.23;2.54;3.52;0.35;0.74;0.34;0.72;0.790024;0.768672;0;scansorial
488;JR410;572;Cophixalus;variabilis;Cophixalus variabilis;m;12.88;6.51;6.48;4.22;5.35;3.21;4.33;3.87;2.39;3.45;0.46;0.61;0.39;0.56;0.747006;0.685776;0;scansorial
491;JR413;569;Cophixalus;variabilis;Cophixalus variabilis;m;13.2;5.78;7.03;3.56;6;3.88;4.84;3.15;2.61;3.4;0.54;0.9;0.6;0.71;1.6956;1.33764;0;scansorial
127;242282;34;Cophixalus;verrucosus;Cophixalus verrucosus;f;21.38;16.28;11.94;6.85;11.75;6.02;6.5;5.92;5.17;5.73;0.76;0.72;0.68;0.86;1.537344;1.836272;0;scansorial
128;242283;17;Cophixalus;verrucosus;Cophixalus verrucosus;m;19.17;10.36;10.02;6.6;10.61;5.57;6.92;5.49;4.09;5.2;0.63;1.04;0.93;1.2;3.037008;3.50424;0;scansorial
129;242284;64;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.9;10.47;11.08;7.02;11.11;6.63;7.72;4.72;5.8;5.94;0.92;0.89;0.93;1.12;2.598978;3.270624;0;scansorial
130;242285;66;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.69;11.01;11.28;6.87;10.17;5.15;7.14;4.8;5.02;5.62;1.06;1.11;1.03;0.76;3.589962;2.457992;0;scansorial
131;242286;69;Cophixalus;verrucosus;Cophixalus verrucosus;m;19.61;10.73;10.88;6.63;9.59;6.14;6.41;4.92;5.56;5.09;0.87;0.87;0.85;1.03;2.32203;2.74907;0;scansorial
132;242287;79;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.59;11.41;11.35;6.77;10.49;5.44;6.95;4.98;5.37;6.02;1.13;1.05;0.92;1.09;3.03324;3.148792;0;scansorial
133;242288;81;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.35;11.2;11.16;6.17;10;5.72;7.23;5.3;4.14;5.56;0.68;0.99;0.87;1.15;2.704482;3.14157;0;scansorial
134;242289;65;Cophixalus;verrucosus;Cophixalus verrucosus;f;26;14.26;14.94;8.9;13.84;8.41;9.15;7.19;6.8;7.35;1.14;1.42;1.15;1.33;5.12762;4.80263;0;scansorial
135;242290;68;Cophixalus;verrucosus;Cophixalus verrucosus;m;18.67;9.91;10.85;7.08;9.75;5.99;7.36;5.41;4.22;5.17;0.97;0.98;0.74;0.96;2.277128;2.230656;0;scansorial
136;242291;80;Cophixalus;verrucosus;Cophixalus verrucosus;m;19.01;10.96;11.27;6.51;10.34;6.52;7.3;5.81;4.85;5.15;0.43;0.82;0.47;0.74;1.210156;1.092092;0;scansorial
137;242292;82;Cophixalus;verrucosus;Cophixalus verrucosus;m;21.48;10.68;11.03;6.55;10.61;6.93;8.21;5.67;4.89;5.56;0.57;0.89;0.56;0.86;1.564976;1.512224;0;scansorial
138;242293;84;Cophixalus;verrucosus;Cophixalus verrucosus;m;19.68;10.22;11.02;6.53;10.91;6.15;7.39;5.89;4.78;5.73;0.54;1.04;0.57;1.13;1.861392;2.022474;0;scansorial
139;242294;85;Cophixalus;verrucosus;Cophixalus verrucosus;m;19.45;10.92;11.17;6.4;10.75;6.32;7.44;5.35;4.46;5.75;0.57;1.01;0.68;1.04;2.156552;2.220608;0;scansorial
140;242295;96;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.7;10.22;10.59;6.68;10.64;6.28;6.85;5.41;4.7;5.63;0.56;1.04;0.44;1.12;1.436864;1.547392;0;scansorial
141;242296;98;Cophixalus;verrucosus;Cophixalus verrucosus;m;15.49;7.82;8.34;4.93;7.47;5.6;5.42;4.06;3.01;3.66;0.53;0.76;0.47;0.72;1.121608;1.062576;0;scansorial
142;242297;99;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.61;11.1;10.87;6.5;10.04;6.94;7.58;5.6;4.6;4.81;0.47;0.74;0.64;0.79;1.487104;1.587584;0;scansorial
143;242298;108;Cophixalus;verrucosus;Cophixalus verrucosus;m;21.07;11.41;11.34;6.98;11.5;6.47;7.17;5.63;5.09;5.87;0.71;1.07;0.53;0.93;1.780694;1.547706;0;scansorial
144;242299;110;Cophixalus;verrucosus;Cophixalus verrucosus;m;20.04;9.96;10.88;6.25;10.49;6.65;8.57;5.09;5.13;5.71;0.58;0.96;0.44;0.89;1.326336;1.229624;0;scansorial
431;JR359;583;Cophixalus;verrucosus;Cophixalus verrucosus;m;22.53;11.35;11.87;7.28;10.96;7.27;7.89;5.93;5.56;6.62;0.85;1.17;0.88;1.06;3.232944;2.928992;0;scansorial
433;JR360;565;Cophixalus;verrucosus;Cophixalus verrucosus;m;22.1;11.35;11.85;7.09;11.91;7.44;7.22;5.92;4.94;5.89;0.69;1.12;0.64;0.88;2.250752;1.768448;0;scansorial
435;JR362;589;Cophixalus;verrucosus;Cophixalus verrucosus;m;15.79;7.09;8.51;5.59;8.42;5.5;5.56;4.31;4.08;4.85;0.6;1.07;0.57;0.88;1.915086;1.575024;0;scansorial
437;JR364;585;Cophixalus;verrucosus;Cophixalus verrucosus;m;22.25;11.67;11.9;7.04;11.29;7.63;8.94;5.74;4.64;6.17;0.83;1.2;0.72;1.01;2.71296;2.283408;0;scansorial
438;JR365;582;Cophixalus;verrucosus;Cophixalus verrucosus;m;21.27;10.81;12.42;7.35;11.67;7.44;7.26;5.84;5.03;6.5;0.74;1.02;0.76;1.03;2.434128;2.457992;0;scansorial
439;JR366;587;Cophixalus;verrucosus;Cophixalus verrucosus;m;13.36;6.27;6.93;3.96;5.36;3.96;5.01;4.3;2.76;2.78;0.51;0.89;0.48;0.69;1.341408;1.039968;0;scansorial
